id,code,name,rating
1,1,KJ Yesudas,82.8
2,2,KS Chithra,81.7
3,6,Kaithapram,67.54
4,8,V Dakshinamoorthy,97
5,13,MG Sreekumar,48
6,15,P Jayachandran,69.72
7,22,Biju Narayanan,66.75
8,23,Unni Menon,48.67
9,27,Jyotsna Radhakrishnan,71.2
10,28,Afsal,68.38
11,47,Madhu,53.5
12,49,Sheela,59.49
13,51,Sukumari,66.04
14,53,Srividya,69.9
15,54,Mohanlal,63.57
16,55,Mammootty,66.31
17,56,Jagathy Sreekumar,61.77
18,57,Innocent,70.69
19,58,Ouseppachan,57.88
20,59,M Jayachandran,67.88
21,68,Berny Ignatius,66.75
22,78,Dileep,71.82
23,79,Jayaram,66.74
24,80,Suresh Gopi,63.41
25,81,Mukesh,59.49
26,83,Prithviraj,74.86
27,84,Kavya Madhavan,75.05
28,85,Shobhana,83.6
29,86,Urvasi,58.8
30,87,Meera Jasmine,58.15
31,88,Biju Menon,68.07
32,89,Manoj K Jayan,59.15
33,90,Thilakan,60.09
34,91,Kaviyoor Ponnamma,67.55
35,92,KPAC Lalitha,63.7
36,94,Nedumudi Venu,63.77
37,97,Vineeth Sreenivasan,73.6
38,98,Venu Nagavally,67.71
39,101,A Jayan,59.76
40,108,Abhishek,62.25
41,122,Ajay Sathyan,53.4
42,125,Ajith,46.27
43,133,Akhila,89.8
44,140,Alex Kayyalaykkal,37.95
45,155,Ambilikkuttan,52.5
46,161,Anand,83.6
47,168,Anil Panachooran,68.28
48,176,Anjali,36.4
49,181,Master Akash,74.52
50,185,Anu,52.44
51,191,Anupama,84.55
52,196,Anushka,31
53,197,Anwar Sadath,70
54,212,Arun Gopan,8
55,216,Rayjan Rajan,42.63
56,220,Asha Jayaram,75.68
57,226,Ashokan,50.58
58,229,Ashwathy,35.17
59,231,Arun,61.79
60,233,Athira,60.04
61,256,Balachandra Menon,71.19
62,257,Balachandran Chullikkad,58.57
63,267,Balu,16
64,273,Beena Kumbalangi,81.07
65,281,Bhagyanath,67.68
66,286,Bhavana,75.21
67,295,Bijibal,79.12
68,311,BR Prasad,88.35
69,322,Paris Laxmi,78.76
70,340,Devi,40
71,346,Chithra Iyer,48.56
72,352,CJ Kuttappan,71.38
73,385,V Devanand,77.43
74,389,Dhanya,32.4
75,395,Divya,34.2
76,410,Indulekha Warrier,72.8
77,440,Freddy,65.49
78,462,PC George,51.8
79,489,Sooraj S Kurup,72.67
80,493,Harikeshan Thampi ,57.04
81,499,Hariharan,36
82,518,Indrajith,74.89
83,551,Jayaraj,90
84,582,Joji,59.65
85,586,Jose,53.47
86,588,Jose Prakash,80.28
87,633,Kaithapram Viswanath,17.2
88,636,Kalabhavan Mani,63.18
89,637,Kalabhavan Navas,57.7
90,639,Kaladharan (Kala Adoor),87
91,650,Kalpana,56.59
92,655,Kamalahasan,63
93,673,Karthika,71.25
94,710,Palakkadu KL Sreeram,42.75
95,725,Kottayam Santha,90.24
96,735,Krishnachandran,64.04
97,736,Krishna Kumar (KK),62.81
98,763,Lakshmi,68.73
99,811,Mejo Joseph,96
100,825,Manikandan,52.2
101,829,Manisha Sheen,96
102,832,Manju Thomas,66.75
103,840,Manoj,54.05
104,860,Meera,34.2
105,869,Mini,42.08
106,882,Mohan Sharma,63.36
107,888,Monu,37.5
108,904,Mullanezhi,60.8
109,907,Murali,78.13
110,909,Murali Krishna,39.82
111,912,Murukan Kattakkada,32.8
112,924,Bhavani Prasad,93
113,926,Nadirsha,66.53
114,944,Nedumudi Harikumar,42.75
115,951,Nikhil K Menon,57.51
116,1011,Pappan,80
117,1043,Piyush Soni,89.3
118,1067,Pradeep,25.77
119,1086,Prasanna,43.2
120,1095,Prem Prakash,68.49
121,1098,Premkumar,55.25
122,1101,Priyadarshan,50.7
123,1124,Asin Thottunkal,88.35
124,1129,Radhika,55.8
125,1137,Rahul Rajwi,49.05
126,1144,Rajyalakshmi,70.29
127,1147,Rajamani,80.99
128,1151,Rajasenan,20.1
129,1168,Rajmohan,41
130,1198,Ranjini Jose,63.78
131,1200,Ranjith,74.81
132,1206,Ratheesh,86.5
133,1213,Ravi Vallathol,65.85
134,1222,Rekha,69.75
135,1224,Renji Panicker,63.88
136,1233,Rimi Tomy,66.41
137,1242,Rohini,70.37
138,1297,Sangeetha,58.88
139,1312,Santhosh,62.49
140,1356,Shaan,30
141,1357,Shaan Rahman,61.92
142,1359,Shabnam,86.4
143,1360,Shahabaz Aman,68.86
144,1396,Shyamaprasad,63.96
145,1408,Sindhu,76.47
146,1413,Sithara,50.4
147,1414,Sithara Krishnakumar,74.82
148,1433,Sneha,66.5
149,1434,Sohan Lal,70.04
150,1436,Soniya,42.64
151,1442,Soorya Kiran,44.55
152,1446,Soumya,56.92
153,1455,Sreekanth,66.7
154,1459,Sreelatha Namboothiri,55.65
155,1463,Sreenivasan,66.67
156,1476,Suchithra Murali,89.3
157,1494,Sumesh,89.3
158,1501,Sunil Viswachaithanya,49.5
159,1509,Suraj Venjaramoodu,55.4
160,1531,Rasna Pavithran,53.17
161,1534,TA Razzaq,65.51
162,1543,Padmaraj Ratheesh,58.05
163,1544,Thankachan,34.2
164,1559,Thomas Berly,70.52
165,1580,TR Omana,64.5
166,1601,Unnikrishnan,66.5
167,1635,Vandana Menon,66.35
168,1645,Varun J Thilak,9
169,1651,Vasundhara Das,81.13
170,1654,VD Rajappan,24.7
171,1665,Vidya,51.75
