id,code,name,rating
1,34,Sreekumaran Thampi,32.8
2,83,Prithviraj,77.4
3,97,Vineeth Sreenivasan,75.7
4,98,Venu Nagavally,39.2
5,126,Ajith Nair,52.5
6,142,Ali Akbar,37.63
7,256,Balachandra Menon,37.05
8,278,Benny P Thomas,33.3
9,296,Biju Bhaskar,33.6
10,304,Binoy John,72.24
11,313,Praveen M Sukumaran,27.3
12,406,Dr R Prasanna Kumar,15.13
13,417,East Coast Vijayan,44.66
14,489,Sooraj S Kurup,43.5
15,496,Hari Narayanan,17.6
16,498,Haridas Kesavan,40.27
17,500,Hariharan,78.13
18,550,Jayaprakash,38.07
19,551,Jayaraj,72.21
20,593,Joshiy,70.09
21,639,Kaladharan (Kala Adoor),24.7
22,655,Kamalahasan,72.21
23,852,Mathew Paul,91.18
24,857,MD Rajendran,15
25,882,Mohan Sharma,62.25
26,926,Nadirsha,73.77
27,951,Nikhil K Menon,17.16
28,988,BR Jacob,24.96
29,1101,Priyadarshan,76.8
30,1119,R Raghava Lawrence,62.3
31,1135,Shibu Gangadharan,53.99
32,1151,Rajasenan,64.16
33,1187,Ramesh Maniyath,58.4
34,1200,Ranjith,73.63
35,1224,Renji Panicker,85.61
36,1275,Sainu Pallithazhathu,16.38
37,1301,Sanjeev Babu,16
38,1332,Sathish Ananthapuri,31.2
39,1334,Sathyan Anthikkad,78.66
40,1378,Shashi Paravoor,61.36
41,1396,Shyamaprasad,62.97
42,1434,Sohan Lal,40.92
43,1435,Sohan Roy,53.25
44,1438,Sonu Sisupal,42.33
45,1501,Sunil Viswachaithanya,40.14
46,1534,TA Razzaq,48.6
47,1634,Arun Vaidyanathan,61.6
48,1652,Vayalar Madhavankutty,57.6
49,1661,Venu,75.48
50,1675,Vijayakrishnan,34.95
51,1690,Vinayan,68.16
52,1694,Vinod Mankara,56.46
53,1698,Vipin Mohan,85.54
54,1743,Jayan Vannery,56.65
55,1749,AK Jayan Poduval,53.12
56,1752,AK Sajan,65.68
57,1756,AP Nagarajan,78
58,1762,AT Joy,52.2
59,1765,Aashiq Abu,70.19
60,1766,KJ Abraham Lincoln,27.3
61,1768,Aditya Sam Abraham,48.75
62,1769,Adoor Gopalakrishnan,64.92
63,1771,Baburaj,58.23
64,1773,Aji John,39.28
65,1776,Ajai Vasudev,71.19
66,1777,Akbar Jose,85.97
67,1779,Akku Akbar,64
68,1780,Albert,91
69,1781,Albert Antony,48.33
70,1783,Alleppey Ashraf,33
71,1784,Altas T Ali,67.24
72,1785,Amal Neerad,75.97
73,1786,Ambadi Krishnan,52.8
74,1789,Amma Rajasekhar,47.6
75,1795,Anil C Menon,78.25
76,1797,Anil Das,55.7
77,1798,Anil K Nair,17.25
78,1800,Anil Medayil,66.5
79,1803,Anish J Karinad,47.25
80,1804,Anish Varma,40.91
81,1806,Anjali Menon,77.97
82,1810,Anwar Rashid,85
83,1812,Aravind T,57
84,1813,Arun S Bhaskar,68
85,1814,Arunkumar Aravind,68.82
86,1817,Ashok R Nath,51.99
87,1821,Avira Rebecca,57.91
88,1824,Majeed Abu,67.86
89,1825,B Sreenu,85
90,1826,B Unnikrishnan,64.4
91,1831,Babu Janardanan,49.65
92,1836,Babu Thiruvalla,40.1
93,1843,Bappu,55.61
94,1844,Basheer,7.5
95,1848,Bhadran,86.24
96,1851,Bharath Gopi,34.2
97,1856,Bhaskar,73.87
98,1858,Bibin Prabhakar,79.8
99,1860,Biju C Kannan,41
100,1862,Biju Varkey,61.22
101,1864,Bipin Prabhakar,40.52
102,1865,Blessy,78.6
103,1867,Boban Samuel,62.26
104,1868,Boyapati Sreenu,68.72
105,1876,CS Sudheesh,39.2
106,1881,Captain Raju,48.97
107,1884,Chandrahasan,32.8
108,1885,Chandrasekharan,48.95
109,1895,Das,66.74
110,1901,Deepu Karunakaran,72.26
111,1908,Devidasan,32.25
112,1909,Dinesh Babu,65.25
113,1910,Diphan,46.04
114,1912,Don Alex,59.25
115,1913,Dr. Biju,64.19
116,1917,Dr S Janardanan,69.5
117,1926,Fazil,64.7
118,1927,Fazil-Jayakrishna,65.6
119,1935,G Sreekandan,28
120,1938,GM Manu,38.95
121,1939,GN Krishnakumar,58.91
122,1943,GS Vijayan,72.88
123,1945,George Kithu,61.32
124,1947,George Varghese,69.75
125,1949,Gireesh Kunnummal,39.7
126,1950,Gireesh Nair,50.74
127,1958,Govindankutty Adoor,24
128,1960,Hakkim Rawther,92.15
129,1964,Harikumar,65.3
130,1965,Harinarayanan,51.75
131,1974,IV Sasi,52.45
132,1975,Indrajith Lankesh,84.48
133,1979,J Francis,36.48
134,1981,J Karunakumar,64
135,1982,J Williams,84.6
136,1985,JD Chakravarthy,73.87
137,1997,Jayachandran Aylara,15
138,1999,Jayakumar Nair,18.8
139,2002,Jayaraj Vijay,31.28
140,2006,Jijo,60
141,2007,Jeethu Joseph,67.79
142,2009,John Ditto,8.1
143,2012,Johnson Esthappan,46.73
144,2013,Johny Antony,71.95
145,2015,Jojo Varghese,62
146,2016,Jomon,71.03
147,2018,Jose Punnoos,78.02
148,2019,Jose Puthussery,12.6
149,2020,Jose Thomas,68.38
150,2026,Joshy Mathew,34.07
151,2032,K Biju,63
152,2034,K Madhu,76.29
153,2039,K Murali,73.32
154,2043,K Raghavendra Rao,36.8
155,2059,KB Madhu,45.28
156,2064,KG Vijayakumar,35.64
157,2067,KJ Bose,44.75
158,2069,KK Haridas,23.81
159,2070,Simon Kuruvila,31.82
160,2073,KP Kumaran,59.63
161,2084,KR Ramdas,43.24
162,2089,KS Sivachandran,16.9
163,2093,KV Anand,78.26
164,2094,Kabeer Rawuthar,8.25
165,2100,Kalavoor Ravikumar,60.97
166,2102,Kamal,77.71
167,2105,Kareem,79.68
168,2108,Karunakaran,70.38
169,2112,Kiran,23.25
170,2113,Kodi Ramakrishna,79.68
171,2117,Krish,30
172,2122,Kukku Surendran,46.82
173,2123,Kumar,51.6
174,2125,Kumar Nanda,43.16
175,2126,Rajiv Menon,60.2
176,2127,Kutty Naduvil,30
177,2128,Lal,54.31
178,2129,Lal Jose,75.39
179,2132,Lenin Rajendran,48.6
180,2133,Ligy J Pullapally,86.4
181,2134,Lijo Jose Pellissery,73.55
182,2135,Leo Thaddeus,61.53
183,2136,Lohithadas,85.18
184,2142,M Mohanan,70.1
185,2143,M Padmakumar,68.6
186,2146,MA Nishad,45.97
187,2148,MA Venu,57.64
188,2152,MD Sukumaran,63.89
189,2153,MG Sasi,58.14
190,2167,MS Gupta,52
191,2171,Madhav Ramadasan,70.65
192,2172,Madhu Kaithapram,35.3
193,2174,Madhupal,78.6
194,2175,Mahesh,32.8
195,2176,Mahesh Manjrekar,18.8
196,2177,Mahesh P Sreenivasan,72
197,2180,Majid Gulisthan,37.5
198,2181,Major Ravi,67.52
199,2184,Mamas,51.96
200,2185,Mammy Century,30.35
201,2188,Mani Ratnam,72.94
202,2192,Martin Prakkat,65.29
203,2199,Mohan Kupleri,52.24
204,2200,Mohan Raghavan,63
205,2211,Murali Nagavally,67.38
206,2212,Murali Nair,63.73
207,2214,Myshkin,37.6
208,2219,NK Sajiv Menon,22.5
209,2222,Sanjeev NR (Saji Paravoor),70.5
210,2230,Nandakumar Kavil,30
211,2233,Nasser,57.34
212,2235,Nemom Pushparaj,62.93
213,2236,Nidheesh Sakthi,63.08
214,2238,Nissar,58.73
215,2240,Nithin Ramakrishnan,53.4
216,2245,P Anil,62.7
217,2250,P Gopikumar,50.76
218,2252,P Jagannath,76
219,2256,P Krishnamurali,46.4
220,2259,P Rajasekharan,54
221,2268,P Sukumar (Kiran),68.8
222,2280,PG Vishwambharan,28.8
223,2282,PK Baburaj,39.89
224,2285,PK Radhakrishnan,40.42
225,2295,Babu Narayanan,69.6
226,2298,PT Kunju Muhammad,72.19
227,2304,Pappan Naripatta,69.6
228,2305,Pappan Payattuvila,13.3
229,2306,Parasuraam Bujji,48.75
230,2315,Prabhakaran Muthana,9
231,2316,Pradeep Chokli,47.48
232,2322,Pramod Pappan,57.88
233,2323,Prasad Valacheril,42.05
234,2324,Prasad Yadav,42.63
235,2325,Prasanth Mambulli,37.45
236,2334,Priyanandanan,55.92
237,2336,Puri Jagannath,53.72
238,2342,R Sanal,68
239,2343,R Sharath,52.63
240,2344,R Sukumaran,69
241,2346,RJ Prasad,49.64
242,2354,Radha Mohan,90.25
243,2356,Radhakrishnan Mangalath,67.5
244,2357,Rafi,75.97
245,2363,Raj Babu,75.91
246,2367,Raj Nair,42.75
247,2373,Rajan Sankaradi,24.96
248,2376,Rajeev Anchal,72.29
249,2377,Rajeevnath,56.12
250,2379,Rajesh - Faizal,80.99
251,2380,Rajesh Amanakara,14.82
252,2381,Rajesh Balachandran,37.5
253,2382,Rajesh Kannamkkara,45.31
254,2385,Rajesh R Pillai,72.59
255,2386,Rajeev Vijayaraghavan,74.26
256,2388,Raju Eeswaran,32
257,2393,Ram Gopal Varma,76.85
258,2396,Ramakanth Sarju,58.4
259,2399,Ramesh Das,20.25
260,2400,Ramesh Varma,72.8
261,2402,Ranjan Pramod,64.74
262,2404,Ranjith Lal,37
263,2405,Ranjith Shankar,73.96
264,2420,Revathy,76.5
265,2425,Rosshan Andrrews,73.17
266,2426,Roy,16
267,2429,Rupesh Paul,45.39
268,2431,S Ayyappan,68.4
269,2447,SL Puram Jayasurya,65.18
270,2449,SP Mahesh,61.11
271,2451,SP Rajkumar,74.7
272,2456,SS Rajamouli,69.08
273,2462,Sajan,46.8
274,2463,Sajeevan,63
275,2465,Saji Surendran,63.26
276,2467,Salim Ahamed,73.45
277,2468,Salim Baba,34.44
278,2470,Samad Mankada,49.35
279,2473,Sameer Thahir,72.78
280,2474,Vasudev Sanal,76.23
281,2475,Sandhya Mohan,64.45
282,2477,Sanil Kalathil,61.92
283,2480,Sanjeev Raj,33.12
284,2481,Sanjeev Sivan,68.1
285,2482,Sankar Krishna,38
286,2484,Santhivila Dinesh,37
287,2485,Santhosh Sivan,79.89
288,2488,Sarathchandran Wayanad,74
289,2489,Sarjulan,53.4
290,2492,Sasi Mohan,47.7
291,2495,Sasi Sankar,83.59
292,2496,Sasindra K Sankar,52.29
293,2498,Satheesh Pothuval,72
294,2499,Satheesh Venganoor,32.64
295,2501,Sathish Menon,58.5
296,2502,Sathish Paul,92
297,2503,Sathya,37.5
298,2509,Shafi,74.42
299,2510,Shaiju Anthikkad,59.99
300,2513,Shaji Azeez,28.5
301,2514,Shaji Kailas,72
302,2515,Shaji N Karun,55.2
303,2516,Shaji Rajasekhar,57.75
304,2519,Shajoon Karyal,61.61
305,2520,Shanker,36.4
306,2523,Shebi Chavakkaad,51.23
307,2524,Shekhar Kammula,83.27
308,2528,Shibu Prabhakar,71.2
309,2532,Shyju-Shaji,69.42
310,2533,Sibi Malayil,64.35
311,2538,Singitham Sreenivasa Rao,76.54
312,2541,Sivakumar,32
313,2545,Sohan Seenulal,48.17
314,2554,Sree Prakash,40.94
315,2555,Sreehari Nanu,45
316,2556,Sreejith Palery,73.04
317,2560,Srinu Vittala,49.7
318,2569,Sudhir Manu,53.4
319,2572,Sukumar (Telugu),68.62
320,2574,Sundar Das,63.01
321,2576,Sunil Karyattukara,46.1
322,2577,Sunil Kumar Desai,77.4
323,2578,Sunil Madhav,8
324,2582,Suresh Kannan,49
325,2584,Suresh Machaad,32
326,2586,Suresh Narayanan,48.72
327,2589,Suresh Unnithan,52.26
328,2590,Suresh Vinu,28.07
329,2592,Swabri,45
330,2593,Swathi Bhaskar,44
331,2598,T Rajan,18.8
332,2601,TK Rajeev Kumar,64.34
333,2608,TS Saji,29.61
334,2609,TS Suresh Babu,51.89
335,2611,TV Chandran,59.64
336,2614,Thaha,61.68
337,2618,Thejas Perumanna,32.2
338,2621,Thomas Sebastian,65.7
339,2622,Thomson,64.19
340,2625,Thulasidas,58.89
341,2626,Trivikram Srinivas,72
342,2628,UC Roshan,34.2
343,2632,Uday Anandan,64.35
344,2636,Ummer Karikkad,40.68
345,2638,V Krishnakumar,48
346,2641,V Murali,70.3
347,2645,V Samudra,49.6
348,2646,V Somanadhan,49.5
349,2649,VK Prakash,63.91
350,2650,VK Unnikrishnan,74.7
351,2651,VM Vinu,72.29
352,2652,VN Adithya,84
353,2657,VS Jayakrishna,23.88
354,2664,VV Vinayak,72.59
355,2665,Vaisakh,63.7
356,2668,Vamsi Paidipally,80.8
357,2671,Veeru Potla,62.25
358,2674,Venu B Nair,9
359,2676,Venugopan,51.37
360,2679,Vijay Menon,46.44
361,2687,Viji Thampy,53.68
362,2692,Vinod Vijayan,65.46
363,2693,Vinu Anand,43.66
364,2695,Vinu Joseph,42.63
365,2697,Vipin Prabhakar,69.42
366,2698,Vipin Vijay,46.5
367,2700,Viswachaithanya,16
368,2702,Viswanathan,48.7
369,2703,Viswanathan Vaduthala,56.4
370,2706,Xavier Titus,20
371,2707,YVS Chowdhary,90
372,2727,Mahesh Sharma,23.4
373,2754,Joy Antony,48
374,2760,Jeevan,42.93
375,2770,P Sudevan,36.75
376,2785,Rejishh Midhila,49.44
377,2786,Sajin Babu,56.63
378,2787,Viswan,67.24
379,2792,Sangeeth,32.8
380,2795,G Prajith,73.84
381,2796,Gopalan Manoj,66.42
382,2800,Shibu Chellamangalam ,64
383,2803,Shanil Mohammad,67.19
384,2804,Pravin Kumar,48
385,2811,S Vinod Kumar ,27.2
386,2837,Jaspal Shanmukham,16.4
387,2841,Sebastine Maliyekkal,31.59
388,2849,ManuSankar,16.2
389,2864,Anoop Ramesh,42.9
390,2866,Jeyen Raj,64.8
