id,code,name,rating
1,31,SP Balasubrahmanyam,78.02
2,47,Madhu,48.77
3,49,Sheela,63.05
4,50,Sharada,64.21
5,51,Sukumari,83.66
6,54,Mohanlal,71.86
7,55,Mammootty,70.5
8,56,Jagathy Sreekumar,48.49
9,57,Innocent,47.67
10,78,Dileep,72.21
11,79,Jayaram,65.71
12,80,Suresh Gopi,68.39
13,81,Mukesh,50.12
14,83,Prithviraj,73.31
15,84,Kavya Madhavan,73.18
16,85,Shobhana,81.18
17,86,Urvasi,55.08
18,87,Meera Jasmine,75.35
19,88,Biju Menon,70.01
20,89,Manoj K Jayan,54.15
21,90,Thilakan,57.26
22,91,Kaviyoor Ponnamma,73.34
23,92,KPAC Lalitha,23.7
24,94,Nedumudi Venu,60.41
25,97,Vineeth Sreenivasan,74.43
26,131,Sidharth,78.02
27,176,Anjali,42.63
28,208,Arjun,65.22
29,226,Ashokan,51.18
30,231,Arun,76.27
31,233,Athira,29.45
32,255,Balabhaskar,63.75
33,256,Balachandra Menon,47.7
34,286,Bhavana,66.8
35,322,Paris Laxmi,76.14
36,518,Indrajith,62.68
37,529,Akhila Sasidharan,66.75
38,629,Mahesh Babu ,46.96
39,634,Nadiya Kalhara,45.98
40,636,Kalabhavan Mani,56.82
41,650,Kalpana,38.33
42,655,Kamalahasan,74.1
43,736,Krishna Kumar (KK),45.68
44,797,R Madhavan,73.95
45,860,Meera,60.16
46,907,Murali,59.7
47,909,Murali Krishna,18
48,926,Nadirsha,60.16
49,1095,Prem Prakash,77.08
50,1151,Rajasenan,47.37
51,1153,Jackie Shroff,63.5
52,1163,Rajesh Mohan,60.06
53,1200,Ranjith,80.99
54,1224,Renji Panicker,65.15
55,1233,Rimi Tomy,28.7
56,1297,Sangeetha,68.8
57,1367,Swati Reddy,64.71
58,1413,Sithara,68
59,1433,Sneha,73.2
60,1449,Sridevi,75.68
61,1463,Sreenivasan,63.99
62,1509,Suraj Venjaramoodu,61.53
63,1606,Usha Uthup,42.48
64,1635,Vandana Menon,66
65,1665,Vidya,47.02
66,1735,Sreelatha (New),41
67,1771,Baburaj,53.04
68,1775,Ajmal Ameer,56.96
69,1822,Archana Susheelan,24.3
70,1838,Baiju,57.33
71,1851,Bharath Gopi,71.24
72,1881,Captain Raju,48.97
73,1888,Cochin Haneefa,41.28
74,1958,Govindankutty Adoor,17.6
75,1963,Master Alan (New),46.98
76,2003,Jayasurya,66.34
77,2092,Megha,23.4
78,2128,Lal,59.5
79,2129,Lal Jose,45
80,2174,Madhupal,32.8
81,2246,Sudhi Kopa,26.1
82,2261,Sharafudeen,63.91
83,2266,P Sreekumar,61.1
84,2268,P Sukumar (Kiran),58.93
85,2330,Prathap Pothen,65.42
86,2372,Rajan P Dev,91
87,2414,Jessy Fox Allen,72
88,2420,Revathy,54.51
89,2476,Sangeeth Sivan,45
90,2485,Santhosh Sivan,42.75
91,2520,Shanker,32.8
92,2534,Siddique,55.09
93,2583,Suresh Krishna,42.81
94,2585,Suresh Menon,73.6
95,2637,Zarina Wahab,42.74
96,2649,VK Prakash,32.8
97,2673,Venkatesh,81
98,2688,Vikram,72.67
99,2716,Vedhika,63.59
100,2717,Laila,74.58
101,2733,Thanushree Reghuram,23.4
102,2736,Prajin,32.8
103,2737,Varuna Shetty,41.41
104,2738,Tejaswini Prakash,32.8
105,2746,Master Sanoop Santhosh,72.33
106,2749, Riaz M T,38.4
107,2761,Praveen Prem,37.95
108,2762,Navaneeth Madhav,66.4
109,2764,Caroline Bech,64
110,2773,Ahaana Krishna,72.05
111,2825,Deepak Parambol,47.91
112,2831,Bibin George,75.28
113,2892,Gouri,37.26
114,2919,Kadambari,55.2
115,2927,Basil,49.6
116,2930,Sukanya (New),69.6
117,2962,Rakendu,23.4
118,2998,Gouri Krishna,38.4
119,3016,Chandini Sreedharan,69.66
120,3028,Sanika Nambiar,64.74
121,3035,Sudeep,71.38
122,3038,Hareesh Kanaran,70.97
123,3060,Aneesh G Menon,52.49
124,3072,Thamanna,61.75
125,3080,Shruti Ramachandran,73.79
126,3084,Rajisha Vijayan,58.86
127,3091,Balaji Sharma,51.6
128,3122,Samantha,67.32
129,3124,Catherine Tressa,68.93
130,3125,Vidya Unni,44.46
131,3126,Swarna Thomas,26.95
132,3156,Sarath Chandran,20.25
133,3157,Adithya Ayotta,26.52
134,3175,Sidharth Menon,69.24
135,3178,Divya Pillai,62.83
136,3184,Jayaprakash Radhakrishnan,70.47
137,3200,Niya,39.2
138,3216,Ashkar Soudan,33.55
139,3225,Vaishnavi,60.06
140,3233,Abhijith Sanal,60.06
141,3242,Aavanaa,51.2
142,3321,Reenu Mathews,58.45
143,3330,Shaun Romy,75.33
144,3345,Varalakshmi Sarathkumar,72.67
145,3346,Neha Saxena,42.47
146,3365,Farhaan Faasil,70.05
147,3455,Vishnu Vinay,44.72
148,3483,Huma Qureshi,41.31
149,3489,Maniyanpilla Raju,47.97
150,3511,Uthara Unni,33.21
151,3524,Sajini Zacharia,57.75
152,3527,Keerthi Sureshkumar,71.8
153,3551,Sheelu Abraham,63.54
154,3600,Zinil Sainudeen,31.04
155,3605,Priyanka Kandwal,42.12
156,3619,Krishna Shankar,65.9
157,3626,Akshara Kishor,44.92
158,3632,Ameer Niyaz,52.94
159,3637,Meena Kandasamy,59.04
160,3682,Shaheen Siddique,21.5
161,3692,Janaki Krishnan,72
162,3702,Gayathri Suresh,66.13
163,3707,Prakash Bare,58.1
164,3708,Nisha Agarwal,58
165,3716,Parvathy Ratheesh,69.56
166,3741,Baby Sayuri Arun,72.98
167,3746,Master Gourav Menon,73.75
168,3750,Adarsh Chandran,36.45
169,3755,Lakshmipriya Chandramouli,76.26
170,3772,Gokul Suresh,62.9
171,3774,Pearle Maaney,49.76
172,3780,Mareena Michael Kurisingal,53.77
173,3811,Manesh Krishnan,40.47
174,3813,Sana Khan,48.36
175,3821,Rameshan Vadakara,36.08
176,3856,Shruthi Hassan ,72.8
177,3858,Siddharth ,64
178,3890,Krish J Sathar,69.6
179,3903,Malavika Sai (Malavika Nair),61.19
180,3906,Sasi Ayyanchira,15
181,3922,Raju Micheal,20
182,3941,Rithesh,72.8
183,3942,Sashi Kumar,72.8
184,3943,Junior NTR,56.35
185,3952,Deepti Sati,65.6
186,3980,Minon,61.56
