id,code,name,rating
1,4,Gireesh Puthenchery,90.66
2,34,Sreekumaran Thampi,32.8
3,42,Mankombu Gopalakrishnan,57.67
4,94,Nedumudi Venu,40.21
5,97,Vineeth Sreenivasan,76.03
6,98,Venu Nagavally,39.2
7,126,Ajith Nair,52.5
8,142,Ali Akbar,45.92
9,256,Balachandra Menon,38.29
10,266,Balram Mattannur,36.52
11,278,Benny P Thomas,33.3
12,384,Devadas,64.8
13,412,Dr SP Ramesh,74.26
14,417,East Coast Vijayan,36
15,483,GR Indugopan,70.2
16,500,Hariharan,89
17,503,Hashna Hash,62.7
18,509,Ilanthoor Vijayakumar,68.4
19,550,Jayaprakash,31.68
20,551,Jayaraj,63.45
21,636,Kalabhavan Mani,73.04
22,655,Kamalahasan,74.1
23,699,Kiran Varma,78.3
24,755,Kurippuzha Sreekumar,60.06
25,801,Madhu Muttom,48.2
26,816,Malayattoor Ramakrishnan,53.82
27,852,Mathew Paul,91.18
28,857,MD Rajendran,15
29,882,Mohan Sharma,62.25
30,900,MT Vasudevan Nair,68.46
31,926,Nadirsha,28.71
32,951,Nikhil K Menon,17.16
33,988,BR Jacob,24.96
34,993,P Prakash,37.65
35,1081,Pramod Shornur,36.48
36,1101,Priyadarshan,76.91
37,1123,R Venugopal,65.6
38,1131,Rafeeq Ahamed,87.4
39,1132,Rafi Mathira,27.75
40,1151,Rajasenan,54.99
41,1187,Ramesh Maniyath,58.4
42,1200,Ranjith,72.77
43,1208,Ratheesh Vegha,68.8
44,1224,Renji Panicker,79.3
45,1241,Robin Thirumala,53.1
46,1322,Ranjeet Kamala Shankar,75.44
47,1332,Sathish Ananthapuri,31.2
48,1334,Sathyan Anthikkad,79.98
49,1378,Shashi Paravoor,69.25
50,1385,Shibu Kallar,43.2
51,1396,Shyamaprasad,72.19
52,1434,Sohan Lal,40.56
53,1438,Sonu Sisupal,40.5
54,1463,Sreenivasan,78.29
55,1470,Subash Chandran,35.69
56,1481,Sudhamsu,56.03
57,1501,Sunil Viswachaithanya,47.88
58,1534,TA Razzaq,57.16
59,1535,TA Shahid,82.29
60,1576,TP Rajeevan,48.8
61,1634,Arun Vaidyanathan,61.6
62,1646,Vasan,48.75
63,1649,R Pandyarajan,88.36
64,1661,Venu,75.48
65,1675,Vijayakrishnan,37.84
66,1684,Viju Ramachandran,42.38
67,1690,Vinayan,70.86
68,1694,Vinod Mankara,55.04
69,1695,Vinu Kiriyath,33.87
70,1738,A Sajeer,72.24
71,1740,A Sheriff,54.78
72,1743,Jayan Vannery,57.62
73,1749,AK Jayan Poduval,53.12
74,1752,AK Sajan,66.05
75,1756,AP Nagarajan,78
76,1765,Aashiq Abu,62.79
77,1768,Aditya Sam Abraham,48.75
78,1769,Adoor Gopalakrishnan,64.92
79,1771,Baburaj,61.47
80,1773,Aji John,58.5
81,1779,Akku Akbar,64
82,1780,Albert,91
83,1781,Albert Antony,45
84,1785,Amal Neerad,76.62
85,1786,Ambadi Krishnan,52.8
86,1787,Ambili,71.25
87,1789,Amma Rajasekhar,47.6
88,1797,Anil Das,24
89,1803,Anish J Karinad,47.7
90,1806,Anjali Menon,78.4
91,1807,Antony Eastman,60.68
92,1817,Ashok R Nath,27.2
93,1821,Avira Rebecca,67.45
94,1824,Majeed Abu,66.12
95,1826,B Unnikrishnan,72.25
96,1831,Babu Janardanan,61.93
97,1836,Babu Thiruvalla,40.1
98,1844,Basheer,7.5
99,1848,Bhadran,86.24
100,1860,Biju C Kannan,41
101,1862,Biju Varkey,61.22
102,1865,Blessy,78.6
103,1868,Boyapati Sreenu,71.9
104,1881,Captain Raju,48.97
105,1884,Chandrahasan,32.8
106,1895,Das,66.74
107,1901,Deepu Karunakaran,74.32
108,1902,Dennis Joseph,57.56
109,1909,Dinesh Babu,65.25
110,1913,Dr. Biju,63.29
111,1917,Dr S Janardanan,76.76
112,1926,Fazil,64.7
113,1927,Fazil-Jayakrishna,65.6
114,1950,Gireesh Nair,50.74
115,1958,Govindankutty Adoor,24
116,1960,Hakkim Rawther,92.15
117,1962,Siva Krishnamoorthy,40.5
118,1964,Harikumar,75.68
119,1981,J Karunakumar,64
120,1985,JD Chakravarthy,73.87
121,1999,Jayakumar Nair,18.8
122,2002,Jayaraj Vijay,41
123,2007,Jeethu Joseph,71.64
124,2009,John Ditto,8.1
125,2012,Johnson Esthappan,60.28
126,2016,Jomon,75.05
127,2020,Jose Thomas,77.4
128,2026,Joshy Mathew,34.4
129,2032,K Biju,63
130,2059,KB Madhu,41.36
131,2064,KG Vijayakumar,35.64
132,2067,KJ Bose,49
133,2070,Simon Kuruvila,31.82
134,2073,KP Kumaran,59.63
135,2077,KP Sunil,21
136,2094,Kabeer Rawuthar,8.25
137,2100,Kalavoor Ravikumar,63.25
138,2102,Kamal,77.26
139,2108,Karunakaran,60
140,2112,Kiran,23.25
141,2122,Kukku Surendran,30
142,2125,Kumar Nanda,25.33
143,2126,Rajiv Menon,60.2
144,2128,Lal,54.31
145,2132,Lenin Rajendran,48.6
146,2134,Lijo Jose Pellissery,71.53
147,2135,Leo Thaddeus,61.53
148,2136,Lohithadas,85.18
149,2142,M Mohanan,58.89
150,2143,M Padmakumar,93
151,2146,MA Nishad,46.27
152,2148,MA Venu,57.64
153,2152,MD Sukumaran,63.89
154,2153,MG Sasi,58.14
155,2167,MS Gupta,52
156,2171,Madhav Ramadasan,69.97
157,2175,Mahesh,59.9
158,2180,Majid Gulisthan,37.5
159,2181,Major Ravi,74.94
160,2184,Mamas,51.96
161,2188,Mani Ratnam,72.94
162,2192,Martin Prakkat,65.29
163,2200,Mohan Raghavan,63
164,2203,Mohan Thomas,22.5
165,2211,Murali Nagavally,72.2
166,2212,Murali Nair,63.73
167,2214,Myshkin,43.2
168,2230,Nandakumar Kavil,65.36
169,2233,Nasser,57.34
170,2240,Nithin Ramakrishnan,53.4
171,2245,P Anil,70.5
172,2258,P Padmarajan,73.96
173,2285,PK Radhakrishnan,40.42
174,2298,PT Kunju Muhammad,72.19
175,2306,Parasuraam Bujji,48.75
176,2315,Prabhakaran Muthana,9
177,2322,Pramod Pappan,39.2
178,2325,Prasanth Mambulli,37.45
179,2334,Priyanandanan,67.86
180,2336,Puri Jagannath,41.5
181,2343,R Sharath,51.47
182,2344,R Sukumaran,69
183,2346,RJ Prasad,49.64
184,2354,Radha Mohan,90.25
185,2357,Rafi,75.93
186,2367,Raj Nair,42.75
187,2376,Rajeev Anchal,72.29
188,2377,Rajeevnath,57.99
189,2380,Rajesh Amanakara,14.82
190,2381,Rajesh Balachandran,37.5
191,2382,Rajesh Kannamkkara,45.31
192,2396,Ramakanth Sarju,58.4
193,2397,Praneesh Vijayan,61.44
194,2400,Ramesh Varma,72.8
195,2402,Ranjan Pramod,79.13
196,2405,Ranjith Shankar,74.39
197,2416,Reji Mathew,39
198,2425,Rosshan Andrrews,78.88
199,2426,Roy,16
200,2429,Rupesh Paul,28.05
201,2447,SL Puram Jayasurya,60.95
202,2449,SP Mahesh,53.82
203,2463,Sajeevan,79.33
204,2467,Salim Ahamed,73.45
205,2468,Salim Baba,17.6
206,2473,Sameer Thahir,69.75
207,2476,Sangeeth Sivan,65.57
208,2477,Sanil Kalathil,61.92
209,2481,Sanjeev Sivan,86.4
210,2485,Santhosh Sivan,68.73
211,2488,Sarathchandran Wayanad,73.18
212,2495,Sasi Sankar,88.36
213,2498,Satheesh Pothuval,72
214,2499,Satheesh Venganoor,32.64
215,2501,Sathish Menon,58.5
216,2509,Shafi,69.75
217,2510,Shaiju Anthikkad,65.81
218,2513,Shaji Azeez,28.5
219,2514,Shaji Kailas,68.06
220,2515,Shaji N Karun,55.2
221,2516,Shaji Rajasekhar,57.75
222,2520,Shanker,40
223,2523,Shebi Chavakkaad,61.24
224,2532,Shyju-Shaji,69.42
225,2536,Sidhique Shameer,36
226,2541,Sivakumar,32
227,2545,Sohan Seenulal,55.08
228,2577,Sunil Kumar Desai,77.4
229,2578,Sunil Madhav,8
230,2585,Suresh Menon,26.52
231,2586,Suresh Narayanan,48.72
232,2592,Swabri,45
233,2593,Swathi Bhaskar,39.01
234,2601,TK Rajeev Kumar,68
235,2608,TS Saji,36.1
236,2609,TS Suresh Babu,33
237,2611,TV Chandran,59.64
238,2614,Thaha,56
239,2623,Thoppil Bhasi,57.27
240,2626,Trivikram Srinivas,64.83
241,2632,Uday Anandan,64.35
242,2636,Ummer Karikkad,32.8
243,2638,V Krishnakumar,48
244,2641,V Murali,70.3
245,2651,VM Vinu,62.32
246,2654,VR Gopalakrishnan,85.54
247,2657,VS Jayakrishna,30.75
248,2665,Vaisakh,67.86
249,2679,Vijay Menon,46.44
250,2687,Viji Thampy,48
251,2693,Vinu Anand,46.48
252,2695,Vinu Joseph,42.63
253,2698,Vipin Vijay,46.5
254,2702,Viswanathan,48.7
255,2727,Mahesh Sharma,23.4
256,2744,John Paul,42.8
257,2745,Dinesh Pallath,52.93
258,2748,Kaloor Dennis,57.17
259,2749, Riaz M T,38.4
260,2759,Ambili Chandramohan,78
261,2772,VP Hemanth Kumar,40
262,2782,KB Raju,55.16
263,2785,Rejishh Midhila,49.44
264,2786,Sajin Babu,56.63
265,2787,Viswan,67.24
266,2800,Shibu Chellamangalam ,64
267,2803,Shanil Mohammad,67.19
268,2804,Pravin Kumar,48
269,2811,S Vinod Kumar ,27.2
270,2814,MD Thamizharashan,36.08
271,2824,Vikram S Nair,49.8
272,2831,Bibin George,73.81
273,2841,Sebastine Maliyekkal,31.59
274,2849,ManuSankar,16.2
275,2864,Anoop Ramesh,42.9
276,2866,Jeyen Raj,64.8
277,2869,Shabari Shankar,68
278,2873,Jayan K Cheriyan,45.24
279,2881,Mammen K Rajan,63.18
280,2883,Rajesh Touchriver,40.56
281,2888,Pradeep Sivasankar,46.17
282,2893,Rojin Thomas,71.34
283,2901,Bency Bijoy,69.6
284,2902,Radhakrishnan Pallath,51.84
285,2916,Saraswathy,51.84
286,2965,Baiju Ezhupunna,40.56
287,2966,Vamanapuram Mani,9.13
288,2970,Balu Irinjalakuda,49
289,2988,Vivek Ranjith,68.88
290,2989,Suresh Unni,18.8
291,3022,Martin C Joseph,46.17
292,3024,Joe Eshwar,53.82
293,3046,Anwar Huzain,64.6
294,3049,Roy Thaikkadan,17.2
295,3055,Linta Jeethu,39.56
296,3056,Jude Antony Joseph,74.85
297,3061,Midhun Manuel Thomas,72
298,3070,Santhosh Gopal,8
299,3087,Chandrasekhar Yeleti,68.85
300,3093,John Manthrickal,73.53
301,3110,Thomas Martin Durd,71.28
302,3118,Visakh G S,57.6
303,3130,Fr Michael Panachikal,16
304,3131,Nikhil Menon,46.44
305,3142,MS Pradeep Kumar,30
306,3145,R Nandakumar,30
307,3163,George Mathew,15
308,3167,Udaykrishna,74.9
309,3176,Arun Govindankutty,31.2
310,3184,Jayaprakash Radhakrishnan,70.47
311,3189,Jessen Joseph,43.97
312,3201,SL Puram Jayasoma,54.17
313,3202,Harikumaran Thampi,26.7
314,3223,J Ligy Pullappally,86.4
315,3224,Abhinu Yadhu Sudhanya,60.06
316,3234,Arun Gopinath,68.8
317,3235,Jijo Antony,57.63
318,3236,Vinod Sreekumar,45.6
319,3237,Vinil Vasu,27.2
320,3254,Jeeva,68.4
321,3256,Tom Emmatty,68.8
322,3265,John Paul George,77.76
323,3267,Hari Madayi,17.01
324,3280,BN Shajeer Sha,48.6
325,3311,Abhiman SA,45.36
326,3313,Suniraj Kasyap,45.36
327,3319,Govind Vijayan,71.28
328,3329,Nandini Valsan,41.31
329,3336,Arun Omana Sadanandan,51.84
330,3340,Sudev Maruthadi,17.16
331,3349,Nithin Renji Panicker,59.13
332,3351,PN Gopikrishnan,51.38
333,3354,Arouz Irfan,37.26
334,3356,Sreejith Sukumaran,28
335,3358,Sumesh V Robin,28
336,3367,Abhilash Sreedharan,72.09
337,3375,Evoor Vasudevan Nair ,17.16
338,3379,Kottayam Nazeer,35.1
339,3380,Sinto Sunny,56.7
340,3388,Rajesh Gopinathan,73.71
341,3392,Arjun Prabhakaran ,66.42
342,3413,Sanoob Anil,30.78
