id,code,name,rating
1,13,MG Sreekumar,68.89
2,34,Sreekumaran Thampi,32.8
3,54,Mohanlal,52.37
4,55,Mammootty,68.3
5,56,Jagathy Sreekumar,20.25
6,66,Vidyasagar,81
7,78,Dileep,79.52
8,79,Jayaram,39.5
9,81,Mukesh,49.58
10,83,Prithviraj,70.63
11,87,Meera Jasmine,63.95
12,88,Biju Menon,64.72
13,89,Manoj K Jayan,69.6
14,92,KPAC Lalitha,25.92
15,97,Vineeth Sreenivasan,77.57
16,98,Venu Nagavally,39.2
17,101,A Jayan,77.76
18,126,Ajith Nair,52.5
19,142,Ali Akbar,9.96
20,256,Balachandra Menon,43.24
21,286,Bhavana,70.47
22,417,East Coast Vijayan,60.95
23,474,Gopakumar,76.14
24,500,Hariharan,89
25,551,Jayaraj,57.53
26,629,Mahesh Babu ,23.4
27,636,Kalabhavan Mani,56.36
28,655,Kamalahasan,76
29,736,Krishna Kumar (KK),36.54
30,755,Kurippuzha Sreekumar,60.06
31,801,Madhu Muttom,87.4
32,832,Manju Thomas,45.6
33,852,Mathew Paul,91.18
34,854,Maya Kartha,48.8
35,882,Mohan Sharma,62.25
36,1095,Prem Prakash,64.6
37,1101,Priyadarshan,51.2
38,1132,Rafi Mathira,52.06
39,1137,Rahul Rajwi,16
40,1151,Rajasenan,37.42
41,1200,Ranjith,75.33
42,1224,Renji Panicker,83.37
43,1241,Robin Thirumala,33.28
44,1354,Selvaraj,74.7
45,1378,Shashi Paravoor,46.5
46,1463,Sreenivasan,83.66
47,1470,Subash Chandran,35.69
48,1501,Sunil Viswachaithanya,34.5
49,1509,Suraj Venjaramoodu,31.24
50,1534,TA Razzaq,47.44
51,1535,TA Shahid,94
52,1601,Unnikrishnan,52
53,1649,R Pandyarajan,88.36
54,1684,Viju Ramachandran,24.75
55,1690,Vinayan,70.15
56,1694,Vinod Mankara,55.04
57,1695,Vinu Kiriyath,27.2
58,1738,A Sajeer,58.28
59,1743,Jayan Vannery,57.62
60,1752,AK Sajan,61.21
61,1765,Aashiq Abu,76.17
62,1769,Adoor Gopalakrishnan,56.7
63,1771,Baburaj,53.23
64,1775,Ajmal Ameer,26.52
65,1781,Albert Antony,45
66,1785,Amal Neerad,75.01
67,1786,Ambadi Krishnan,52.8
68,1789,Amma Rajasekhar,43.2
69,1807,Antony Eastman,48.36
70,1810,Anwar Rashid,76.51
71,1811,Appachan (Navodaya),60
72,1814,Arunkumar Aravind,67.4
73,1824,Majeed Abu,66.12
74,1826,B Unnikrishnan,70.52
75,1831,Babu Janardanan,65.44
76,1836,Babu Thiruvalla,40.1
77,1860,Biju C Kannan,41
78,1862,Biju Varkey,42.33
79,1865,Blessy,64.8
80,1868,Boyapati Sreenu,70.02
81,1885,Chandrasekharan,30.75
82,1892,D Sasi,74
83,1897,David Kachappilli,70.15
84,1913,Dr. Biju,55.65
85,1917,Dr S Janardanan,74.52
86,1926,Fazil,82.87
87,1949,Gireesh Kunnummal,30
88,1950,Gireesh Nair,61.77
89,1958,Govindankutty Adoor,24
90,1964,Harikumar,41.36
91,1990,Jagadeesh Chandran,48.55
92,2002,Jayaraj Vijay,41
93,2003,Jayasurya,73.35
94,2007,Jeethu Joseph,60.49
95,2012,Johnson Esthappan,46.73
96,2014,Johny Sagarika,60.79
97,2020,Jose Thomas,46.68
98,2026,Joshy Mathew,34.4
99,2034,K Madhu,91.64
100,2059,KB Madhu,65.86
101,2067,KJ Bose,49
102,2078,KP Venu,45
103,2100,Kalavoor Ravikumar,47.18
104,2102,Kamal,69.84
105,2108,Karunakaran,97
106,2125,Kumar Nanda,7.5
107,2128,Lal,77.45
108,2129,Lal Jose,72.38
109,2132,Lenin Rajendran,33.21
110,2134,Lijo Jose Pellissery,82.61
111,2135,Leo Thaddeus,73.53
112,2136,Lohithadas,82.72
113,2140,M Mani,66.05
114,2142,M Mohanan,52.7
115,2143,M Padmakumar,72.83
116,2144,M Sunil Kumar,81.7
117,2146,MA Nishad,46.73
118,2152,MD Sukumaran,65
119,2167,MS Gupta,52
120,2174,Madhupal,32.8
121,2175,Mahesh,87
122,2180,Majid Gulisthan,37.5
123,2184,Mamas,36
124,2185,Mammy Century,49.5
125,2186,Mani C Kappan,24.7
126,2188,Mani Ratnam,74.62
127,2192,Martin Prakkat,78.1
128,2200,Mohan Raghavan,63
129,2203,Mohan Thomas,22.5
130,2212,Murali Nair,64.72
131,2233,Nasser,73.87
132,2246,Sudhi Kopa,26.1
133,2268,P Sukumar (Kiran),55.77
134,2273,Sudeep Palanad,65.6
135,2306,Parasuraam Bujji,48.75
136,2315,Prabhakaran Muthana,9
137,2325,Prasanth Mambulli,29.16
138,2327,Asha Muralidharan,17.16
139,2330,Prathap Pothen,53.94
140,2334,Priyanandanan,67.86
141,2343,R Sharath,40.03
142,2357,Rafi,67.55
143,2367,Raj Nair,42.75
144,2376,Rajeev Anchal,63.75
145,2380,Rajesh Amanakara,14.82
146,2382,Rajesh Kannamkkara,62.25
147,2402,Ranjan Pramod,79.12
148,2405,Ranjith Shankar,72.66
149,2467,Salim Ahamed,74.57
150,2469,Salim Padiyath,92.16
151,2470,Samad Mankada,82.5
152,2473,Sameer Thahir,73.86
153,2476,Sangeeth Sivan,64.6
154,2480,Sanjeev Raj,26.25
155,2485,Santhosh Sivan,68.73
156,2514,Shaji Kailas,69.66
157,2515,Shaji N Karun,55.2
158,2519,Shajoon Karyal,76.26
159,2520,Shanker,40
160,2523,Shebi Chavakkaad,72.24
161,2534,Siddique,77
162,2545,Sohan Seenulal,55.08
163,2592,Swabri,45
