id,code,name,rating
1,2,KS Chithra,53.32
2,3,G Devarajan,52
3,4,Gireesh Puthenchery,70.16
4,5,P Bhaskaran,55.41
5,6,Kaithapram,65.91
6,7,Vayalar,57.68
7,8,V Dakshinamoorthy,78.23
8,9,Poovachal Khader,44.08
9,10,Bichu Thirumala,57.13
10,11,ONV Kurup,54.11
11,13,MG Sreekumar,52.82
12,15,P Jayachandran,61.92
13,18,Sujatha Mohan,83.6
14,20,G Venugopal,62.98
15,33,Raveendran,72.41
16,34,Sreekumaran Thampi,57.36
17,35,Shyam,71.37
18,36,Johnson,63.71
19,38,Mohan Sithara,58.35
20,39,Yusufali Kecheri,64.6
21,40,MK Arjunan,61.72
22,41,S Ramesan Nair,68.79
23,42,Mankombu Gopalakrishnan,57.56
24,43,MS Baburaj,73.32
25,44,SP Venkitesh,60.72
26,58,Ouseppachan,66.92
27,59,M Jayachandran,61.75
28,60,K Raghavan,59.03
29,63,MG Radhakrishnan,76.79
30,64,Ilayaraja,63.48
31,66,Vidyasagar,74.38
32,67,Vayalar Sarathchandra Varma,54.31
33,68,Berny Ignatius,64
34,71,Traditional,64.11
35,72,Bharanikkavu Sivakumar,51.92
36,74,Shibu Chakravarthy,61.63
37,75,Kavalam Narayana Panicker,59.83
38,76,Chunakkara Ramankutty,37.18
39,77,Jerry Amaldev,57.24
40,84,Kavya Madhavan,55.37
41,94,Nedumudi Venu,61.92
42,95,Sharreth,61.96
43,97,Vineeth Sreenivasan,72.92
44,99,Vidyadharan Master,52.33
45,100,13AD,62.25
46,101,A Jayan,77.76
47,107,AB Murali,86.48
48,108,Abhishek,39.2
49,109,Abhishek Ray,48
50,110,Achu,82.77
51,111,Achu Rajamani,66.22
52,116,Afsal Yusuf,49.35
53,124,Aji Sharas,30.33
54,126,Ajith Nair,52.5
55,127,Ajith Sukumar,53.14
56,140,Alex Kayyalaykkal,32
57,141,Alex Paul,70.45
58,142,Ali Akbar,24.07
59,150,Alleppey Vivekanandan,18.06
60,151,Alphonse Joseph,58.73
61,156,Amit Trivedi,78.26
62,160,Amritha Suresh,45.58
63,161,Anand,59.2
64,162,Anand Bakshi,54.75
65,167,Anil Gopalan,40.78
66,168,Anil Panachooran,55.24
67,169,Anil Pongumoodu,78.85
68,171,Anil Vadanamkurissy,49.5
69,173,Anitha,70.5
70,178,Anoop A Kamath,54.4
71,180,Anoop Rubens,64
72,201,Aparna Karimbil,60.75
73,204,AR Rahman,71.24
74,210,Arumughan Vengidangu,80.02
75,211,Arun Alat,60.2
76,213,Arun Siddharth,48.08
77,214,Arun-Anoop,69.42
78,216,Rayjan Rajan,30
79,218,Asha Ashok,71.25
80,223,Asha Ramesh,47.57
81,237,Avial,80.97
82,244,Babu Bharadwaj,41.36
83,245,Babu Jose,8
84,247,Baburaj Thrippunithara,53.4
85,255,Balabhaskar,49.92
86,256,Balachandra Menon,38.62
87,257,Balachandran Chullikkad,58.42
88,258,Balachandran Thekkanmar,34.05
89,270,Bankim Chandra Chatterji,76.8
90,272,Bappu Velliparambu,70.94
91,275,Bennett,58.47
92,276,Benny Johnson,41.96
93,277,Benny ,78.69
94,278,Benny P Thomas,33.3
95,283,Bharadhwaj,73.69
96,289,Bhavatharani,76.5
97,294,Bhuvana Chandran,68.25
98,295,Bijibal,62.26
99,297,Biju Kaipparedan,83.6
100,299,Biju Paulose,50.45
101,304,Binoy John,72.24
102,309,Bombay Ravi,53.9
103,310,Bombay S Kamal,56.19
104,311,BR Prasad,58.07
105,313,Praveen M Sukumaran,27.3
106,314,Brajesh Ramachandran,49.92
107,325,Capt Suneer Hamsa,62.64
108,327,Chakri,62.94
109,332,Changampuzha,72.18
110,337,Chempazhanthi Babu,16
111,338,Cheramangalam,46.8
112,348,Chittoor Gopi,50.91
113,349,Chorus,82.8
114,350,Chowalloor Krishnankutty,55.68
115,352,CJ Kuttappan,73.63
116,366,CV Ranjith,33
117,367,D Imman,50.9
118,369,D Vinayachandran,94
119,371,Darsan Raman,35.63
120,374,Deb Jyothi Mishra,79.21
121,377,Deepak Dev,67.88
122,379,Deepan Chatterji,82.58
123,380,Deepankuran,51.88
124,383,Deva,84.23
125,384,Devadas,35.53
126,387,Devi Sri Prasad,71.5
127,391,Dharan,69.23
128,399,Dr Deepak Sneh,63.2
129,406,Dr R Prasanna Kumar,15.13
130,412,Dr SP Ramesh,83.6
131,414,Dr Suresh Manimala,63.75
132,417,East Coast Vijayan,66.72
133,419,Edappalli Raghavan Pillai,64.08
134,420,Edasseri,66.75
135,428,Engandiyoor Chandrasekharan,56.97
136,432,Ezhacheri Ramachandran,37.2
137,435,Fazal Nadapuram,17.6
138,454,Gauri,86.4
139,458,Gayathri Suresh,69.42
140,463,George Peter,63.65
141,465,George Thomas,24.6
142,468,Gireesh B Punthalathazham,37.5
143,470,GK Pallath,56.7
144,474,Gopakumar,76
145,475,Gopan,48
146,477,Gopi Sundar,64.89
147,479,Gouhar Rasa,92.16
148,484,Gulzar,66.63
149,488,GV Prakash Kumar,52.82
150,489,Sooraj S Kurup,70.51
151,490,Hamsa Kunnatheri,37.56
152,497,Hari Venugopal,34.75
153,500,Hariharan,79.6
154,502,Harris Jayaraj,66.96
155,505,Hemachandra,72.8
156,508,I John,27.75
157,510,Ibne Insha,46.5
158,516,Inchakkad Balachandran,55.1
159,517,Indira Namboothiri,31.68
160,520,Iqbal,57.95
161,521,Irayimman Thampi,62.24
162,522,IS Kundoor,78.1
163,524,Isaac Thomas Kottukapally,57.46
164,528,Jagan,78.02
165,532,Jaison J Nair,68.35
166,533,Jakes Bejoy,69.18
167,539,Jassie Gift,50.82
168,542,Jayadevar,33.21
169,547,Jayan Pisharadi,41.25
170,548,Jayan Raghavan,49.4
171,550,Jayaprakash,24.08
172,551,Jayaraj,52.34
173,554,Jayashree Kishore,43.52
174,559,Jeevan Thomas,57.4
175,569,Jithesh,43
176,578,Joffy Tharakan,56.51
177,579,John Altman,59.63
178,581,Johnson Mangazha,9.6
179,583,Joji Hohns,58.29
180,594,Joshua Sreedhar,68.49
181,598,Joy Madhavan,55.08
