c_id,title,year,release,rating
3178,The Gang (2000),2000,28-04-2000,90
3232,Punaradhivaasam (2000),2000,,67
3235,Mark Antony (2000),2000,,89
3237,Priyankari (2000),2000,,20
3238,Manassil Oru Manjuthulli (2000),2000,,20
3239,Sradha (2000),2000,07-07-2000,81
3241,Life is Beautiful (2000),2000,,89
3244,Joker (2000),2000,29-10-2000,95
3247,Ingane Oru Nilaappakshi (2000),2000,,75
3248,Cover Story (2000),2000,,80
3249,Millenium Stars (2000),2000,,94
3250,Naadan Pennum Naattupramaaniyum (2000),2000,,92
3251,Daadaasaahib (2000),2000,,90
3252,Varnakkaazhchakal (2000),2000,08-10-2000,88
3253,Daivathinte Makan (2000),2000,05-05-2000,88
3254,Darling Darling (2000),2000,,81
3255,Kochu Kochu Santhoshangal (2000),2000,,89
3256,Devadoothan (2000),2000,,97
3257,Ayyappantamma Neyyappam Chuttu (2000),2000,,97
3261,Vinayapoorvam Vidyaadharan (2000),2000,10-06-2000,44
3264,Thankathoni (2000),2000,,71
3266,Mera Naam Joker (2000),2000,,64
3268,Swayamvarappanthal (2000),2000,,89
3271,India Gate (2000),2000,,30
3272,Summer Palace (2000),2000,,78
3274,Susanna (2000),2000,11-11-2000,65
3276,Narasimham (2000),2000,26-01-2000,90
3277,Pilots (2000),2000,04-06-2000,86
3278,Sathyameva Jayathe (2000),2000,,94
3279,Madhuranombarakkaattu (2000),2000,,93
3280,Valyettan (2000),2000,,93
3281,Indriyam (2000),2000,09-08-2000,87
3283,Karunam (2000),2000,,72
3284,Priyam (2000),2000,,89
3285,Raakkilippaattu (2007),2007,15-02-2007,96
3286,Kinnaarathumbikal (2000),2000,03-10-2000,62
3288,Kallukondoru Pennu (2000),2000,,35
3290,Mazha (2000),2000,,82
3291,Mele Vaaryathe Maalaakhakkuttikal (2000),2000,,83
3294,Ival Draupadi (2000),2000,,20
3295,Thenkaashippattanam (2000),2000,,85
3296,Ithu Kadhayalla (2000),2000,,20
3299,Arayannangalude Veedu (2000),2000,,92
3300,Mister Butler (2000),2000,,94
3301,Sathyam Sivam Sundaram (2000),2000,,93
3302,Saayaahnam (2000),2000,,70
3324,Nagaravadhu (2001),2001,,26
3326,Raavanaprabhu (2001),2001,31-08-2001,94
3339,Achaneyaanenikkishtam (2001),2001,,84
3342,Ishtam (2001),2001,,84
3344,Dosth (2001),2001,,87
3345,Karumaadikkuttan (2001),2001,,95
3348,Ee Naadu Innalevare (2001),2001,08-03-2001,20
3350,Naaraanathu Thamburaan (2001),2001,,86
3352,Meghamalhaar (2001),2001,,96
3353,The Guard (2001),2001,21-12-2001,97
3355,Soothradhaaran (2001),2001,,88
3362,Meghasandesham (2001),2001,04-05-2001,88
3363,Unnathangalil (2001),2001,,79
3365,Ee Parakkumthalika (2001),2001,,95
3366,Narendran Makan Jayakaanthan Vaka (2001),2001,,93
3368,Kaattu Vannu Vilichappol (2001),2001,30-06-2001,86
3369,Sundarapurushan (2001),2001,,91
3370,Randaam Bhaavam (2001),2001,28-09-2001,89
3371,Saiver Thirumeni (2001),2001,,36
3372,One Man Show (2001),2001,,92
3376,Nariman (2001),2001,,91
3377,Red Indians (2001),2001,,61
3378,Dubai (2001),2001,,84
3380,Bharthaavudyogam (2001),2001,10-03-2001,31
3381,Vakkaalathu Narayanankutti (2001),2001,,85
3382,Praja (2001),2001,,85
3383,Aakaashathile Paravakal (2001),2001,,92
3386,Kinnaaram Chollicholli (2001),2001,,74
3387,Korappan The Great (2001),2001,,38
3388,Raakshasa Raajaavu (2001),2001,31-08-2001,93
3389,Sraavu (2001),2001,,70
3391,Sharjah To Sharjah (2001),2001,,90
3396,Kaakkakkuyil (2001),2001,,92
3401,Uthaman (2001),2001,,86
3404,Theerthaadanam (2001),2001,,93
3406,Pattiyude Divasam (2001),2001,,65
3429,Yaamini (2001),2001,,36
3444,Malayaali Maamanu Vanakkam (2002),2002,24-01-2002,96
3445,Vaalkkannaadi (2002),2002,,95
3447,Phantom (2002),2002,,89
3449,Mazhathullikkilukkam (2002),2002,23-02-2002,96
3450,Oomapenninu Uriyadappayyan (2002),2002,,95
3451,Kanmashi (2002),2002,,85
3452,Kalyaanaraman (2002),2002,,94
3454,Ente Hridayathinte Udama (2002),2002,,38
3456,Kunjikkoonan (2002),2002,,96
3457,Kayyethum Doorathu (2002),2002,21-08-2002,78
3459,Thaandavam (2002),2002,,80
3460,Sesham (2002),2002,,75
3463,Jagapoga (2001),2001,15-12-2001,70
3464,Nakshathrakannulla Raajakumaaran Avanundoru Raajakumaari (2002),2002,,84
3465,Yaathrakkaarude Shradhaykku (2002),2002,,96
3467,Kaattuchembakam (2002),2002,,30
3469,Snehithan (2002),2002,27-12-2002,86
3470,Pakalppooram (2002),2002,,90
3471,Nammal (2002),2002,,93
3473,Kuberan (2002),2002,,92
3474,Nandanam (2002),2002,20-12-2002,94
3476,Meesa Madhavan (2002),2002,07-04-2002,92
3478,Bhavam (2002),2002,24-05-2002,65
3481,Krishnaa Gopaalkrishnaa (2002),2002,,43
3482,Kayamkulam Kanaran (2002),2002,,39
3483,Jagathy Jagadeesh in Town (2002),2002,,94
3484,Saavithriyude Aranjaanam (2002),2002,25-02-2002,36
3489,Shivam (2002),2002,,93
3490,Bamboo Boys (2002),2002,,87
3492,Kaalachakram  (2002),2002,,45
3493,Puthooram Puthri Unniyaarcha (2002),2002,,32
3494,Kaakke Kaakke Koodevide (2002),2002,,60
3513,Chathurangam (2002),2002,09-10-1959,77
3516,Ee Bhaargaveenilayam (2002),2002,,37
3520,Kaashillaatheyum Jeevikkaam (2002),2002,,14
3524,Maayaamohini (2002),2002,,76
3527,Stop Violence (2002),2002,,81
3534,Thilakam (2002),2002,,53
3541,Mitr - My Friend (2002),2002,,85
3547,Kaarmegham (2002),2002,,83
3549,Manassinakkare (2003),2003,25-12-2003,95
3550,Swapnakkoodu (2003),2003,,95
3551,Varum Varunnu Vannu (2003),2003,,46
3552,War And Love (2003),2003,,60
3553,Pattanathil Sundaran (2003),2003,,91
3554,Thillaana Thillaana (2003),2003,,33
3555,Chronic Bachelor (2003),2003,,95
3556,Vellithira (2003),2003,06-06-2003,92
3557,Swapnam Kondu Thulaabhaaram (2003),2003,,84
3558,CID Moosa (2003),2003,,97
3559,Kilichundan Mambazham (2003),2003,,92
3560,Ammakkilikoodu (2003),2003,,97
3561,Mizhirandilum (2003),2003,,86
3562,Pattaalam (2003),2003,26-09-2003,90
3563,Kasthoorimaan (2003),2003,29-03-2003,92
3564,Pulivaal Kalyaanam (2003),2003,,94
3565,Gramaphone (2003),2003,,95
3568,Mullavalliyum Thenmaavum (2003),2003,,89
3569,Ente Veedu Appoontem (2003),2003,,95
3570,Anyar (2003),2003,,44
3572,Sadaanandante Samayam (2003),2003,31-10-2003,91
3573,Mr Brahmachaari (2003),2003,,84
3576,Goureeshankaram (2003),2003,25-12-2003,90
3577,Saphalam (2003),2003,,48
3579,Njaan Salpperu Ramankutty (2004),2004,,60
3580,Meerayude Dukhavum Muthuvinte Swapnavum (2003),2003,,90
3581,Thilakkam (2003),2003,04-11-2003,90
3582,Chakram (2003),2003,27-12-2003,88
3584,Balettan (2003),2003,28-08-2003,91
3585,Choonda (2003),2003,,34
3586,Hariharan Pilla Happiyaanu (2003),2003,26-11-2003,60
3588,Paadham Onnu Oru Vilaapam (2003),2003,,86
3589,Arimpaara (2003),2003,,72
3590,Maargam (2003),2003,,79
3593,Sahodaran Sahadevan (2003),2003,,31
3594,Saudaamini (2003),2003,18-04-2003,54
3597,Vasanthamaalika (2003),2003,,68
3599,Magic Magic (2003),2003,04-10-2003,83
3600,Malsaram (2003),2003,,86
3608,Ivar (2003),2003,,48
3611,Aadhavan (2010),2010,,80
3612,The King Maker Leader (2003),2003,,26
3622,Popcorn (2003),2003,,61
3623,Black (2004),2004,,95
3624,Youth Festival (2004),2004,,66
3627,Vismayathumbathu (2004),2004,04-10-2004,92
3628,Wanted (2004),2004,,81
3629,Greetings (2004),2004,,80
3630,Mayilaattam (2004),2004,,88
3631,Kerala House Udan Vilpanaykku (2004),2004,,92
3634,Kaakkakarumban (2004),2004,27-08-2004,33
3636,Nammal Thammil (Fifty Fifty) (2009),2009,27-03-2009,60
3637,Kusruthy (2004),2004,,76
3638,Perumazhakkaalam (2004),2004,11-12-2004,96
3639,Vesham (2004),2004,,92
3640,Chathikkaatha Chanthu (2004),2004,,96
3641,Maambazhakkaalam (2004),2004,11-04-2004,89
3642,Amrutham (2004),2004,24-12-2004,84
3643,Melvilaasam Shariyaanu (2003),2003,10-10-2003,33
3644,Symphony (2004),2004,13-02-2004,62
3645,Kaazhcha (2004),2004,,96
3646,Vettam (2004),2004,20-08-2004,97
3647,Ennittum (2006),2006,02-10-2006,37
3648,4 The People (2004),2004,,93
3649,Kadhaavaseshan (2004),2004,11-11-2004,96
3650,Sasneham Sumitra (2004),2004,,55
3651,Akale (2004),2004,,90
3654,Vajram (2004),2004,04-10-2004,76
3657,Rasikan (2004),2004,16-12-2004,92
3658,Runway (2004),2004,25-04-2004,96
3660,Manjupoloru Penkutti (2004),2004,,84
3661,Naattu Raajavu (2004),2004,,80
3662,Monalisa (2004),2004,,88
3663,Jalolsavam (2004),2004,,90
